 number of hashes      element number     theoretical fpp    experimental fpp      relative error
                2                 307            0.203377            0.208343            0.024414
                2                 307            0.203377            0.195875            0.036887
                2                 307            0.203377            0.202180            0.005887
                2                 307            0.203377            0.196160            0.035487
                2                 307            0.203377            0.205556            0.010713
                2                 307            0.203377            0.210478            0.034914
                2                 307            0.203377            0.200065            0.016287
                2                 307            0.203377            0.199069            0.021187
                2                 307            0.203377            0.211536            0.040114
                2                 307            0.203377            0.176148            0.133889
                3                 324            0.230298            0.267537            0.161702
                3                 324            0.230298            0.226844            0.014998
                3                 324            0.230298            0.225070            0.022698
                3                 324            0.230298            0.209272            0.091298
                3                 324            0.230298            0.217033            0.057598
                3                 324            0.230298            0.232486            0.009502
                3                 324            0.230298            0.239164            0.038502
                3                 324            0.230298            0.211391            0.082098
                3                 324            0.230298            0.214361            0.069198
                3                 324            0.230298            0.233614            0.014402
                4                 210            0.098139            0.098296            0.001607
                4                 210            0.098139            0.103527            0.054908
                4                 210            0.098139            0.104587            0.065708
                4                 210            0.098139            0.110662            0.127608
                4                 210            0.098139            0.104754            0.067408
                4                 210            0.098139            0.098306            0.001707
                4                 210            0.098139            0.090386            0.078993
                4                 210            0.098139            0.100347            0.022507
                4                 210            0.098139            0.089071            0.092393
                4                 210            0.098139            0.107198            0.092308
                5                 196            0.088673            0.081340            0.082697
                5                 196            0.088673            0.088913            0.002704
                5                 196            0.088673            0.092433            0.042404
                5                 196            0.088673            0.093311            0.052304
                5                 196            0.088673            0.097958            0.104704
                5                 196            0.088673            0.077323            0.127997
                5                 196            0.088673            0.086634            0.022996
                5                 196            0.088673            0.091290            0.029504
                5                 196            0.088673            0.094659            0.067504
                5                 196            0.088673            0.083522            0.058097
                6                 212            0.129457            0.155466            0.200908
                6                 212            0.129457            0.108421            0.162495
                6                 212            0.129457            0.127542            0.014794
                6                 212            0.129457            0.130986            0.011807
                6                 212            0.129457            0.141006            0.089207
                6                 212            0.129457            0.121225            0.063594
                6                 212            0.129457            0.136617            0.055307
                6                 212            0.129457            0.132578            0.024107
                6                 212            0.129457            0.136747            0.056307
                6                 212            0.129457            0.147000            0.135507
                7                 191            0.109427            0.119932            0.096003
                7                 191            0.109427            0.109241            0.001697
                7                 191            0.109427            0.103310            0.055897
                7                 191            0.109427            0.097237            0.111398
                7                 191            0.109427            0.105280            0.037897
                7                 191            0.109427            0.110893            0.013403
                7                 191            0.109427            0.106046            0.030897
                7                 191            0.109427            0.104908            0.041297
                7                 191            0.109427            0.103245            0.056497
                7                 191            0.109427            0.125787            0.149503
                8                 245            0.279021            0.267279            0.042083
                8                 245            0.279021            0.264963            0.050383
                8                 245            0.279021            0.270404            0.030883
                8                 245            0.279021            0.277463            0.005583
                8                 245            0.279021            0.260470            0.066484
                8                 245            0.279021            0.275091            0.014083
                8                 245            0.279021            0.306007            0.096719
                8                 245            0.279021            0.289991            0.039318
                8                 245            0.279021            0.257038            0.078784
                8                 245            0.279021            0.283741            0.016918
                9                 348            0.648673            0.661780            0.020205
                9                 348            0.648673            0.591528            0.088095
                9                 348            0.648673            0.594901            0.082895
                9                 348            0.648673            0.669305            0.031805
                9                 348            0.648673            0.621043            0.042595
                9                 348            0.648673            0.680073            0.048405
                9                 348            0.648673            0.685651            0.057005
                9                 348            0.648673            0.642190            0.009995
                9                 348            0.648673            0.650363            0.002605
                9                 348            0.648673            0.644266            0.006795
               10                 229            0.323030            0.342745            0.061029
               10                 229            0.323030            0.302429            0.063775
               10                 229            0.323030            0.349593            0.082229
               10                 229            0.323030            0.323362            0.001027
               10                 229            0.323030            0.312411            0.032874
               10                 229            0.323030            0.364808            0.129331
               10                 229            0.323030            0.263503            0.184278
               10                 229            0.323030            0.331955            0.027628
               10                 229            0.323030            0.324751            0.005327
               10                 229            0.323030            0.392719            0.215733
